item,group_column,group_A,group_B,n_X,n_Y,sigma,rep,rho_frobenius_change,alpha,beta,delta_alpha,delta_beta
ry9,grade,6,7,16103,14724,0.005,3,0.016044745770023718,48.82497704718516,2143.2663481045056,0.07640613140303287,2.3028827902362536
ry9,grade,6,7,16103,14724,0.005,4,0.021407003692351996,48.776640373414864,2125.5369083963446,0.12474280517332659,20.032322498397207
ry9,grade,6,7,16103,14724,0.005,5,0.027336805881616626,48.88631745678077,2152.228982958074,0.015065721807417276,6.659752063332235
ry9,grade,6,7,16103,14724,0.005,6,0.021210990814512064,48.73858914041036,2137.3744557740006,0.16279403817782878,8.19477512074127
ry9,grade,6,7,16103,14724,0.005,7,0.014959632133182445,49.048925377459035,2153.920558589344,0.14754219887084474,8.351327694602332
ry9,grade,6,7,16103,14724,0.005,8,0.02284707390911747,48.70425046173942,2129.64599561526,0.19713271684877043,15.923235279482014
ry9,grade,6,7,16103,14724,0.005,9,0.0248781463598561,49.15022717334423,2161.9066897993694,0.24884399475603658,16.33745890462751
ry9,grade,6,7,16103,14724,0.005,10,0.024231760420212373,48.74819868078298,2144.8207313111725,0.15318449780521348,0.7484995835693553
ry9,grade,6,7,16103,14724,0.005,11,0.01818224064956283,48.63454945814989,2112.4447119214074,0.26683372043829934,33.12451897333449
ry9,grade,6,7,16103,14724,0.005,12,0.024671017296864623,49.06016099703843,2151.5033255649973,0.15877781845023975,5.93409467025549
ry9,grade,6,7,16103,14724,0.005,13,0.017930730766951602,48.95845268135154,2152.43330913766,0.05706950276334766,6.864078242918367
ry9,grade,6,7,16103,14724,0.005,14,0.01726890201602041,49.04556056897994,2152.3238337612765,0.14417739039174648,6.754602866534697
ry9,grade,6,7,16103,14724,0.005,15,0.01950049715508705,49.15383687327013,2179.9837765042903,0.25245369468193957,34.41454560954844
ry9,grade,6,7,16103,14724,0.005,16,0.027207268631731427,49.02347136047816,2148.928564995244,0.12208818188997128,3.3593341005021102
ry9,grade,6,7,16103,14724,0.005,17,0.017192265355211563,49.05965162282908,2148.735242065956,0.15826844424088904,3.166011171213995
ry9,grade,6,7,16103,14724,0.005,18,0.02496249694296123,48.43857752675897,2096.8380638308818,0.4628056518292212,48.731167063860084
ry9,grade,6,7,16103,14724,0.005,19,0.02348032880529533,48.91922107157344,2160.3787701060774,0.017837892985248516,14.809539211335505
ry9,grade,6,7,16103,14724,0.005,20,0.023601767128466112,48.58856864009786,2102.3516672017713,0.31281453849032914,43.21756369297054
ry9,grade,6,7,16103,14724,0.005,21,0.01181089614499255,48.977426870649964,2152.006410882424,0.07604369206177353,6.437179987682157
ry9,grade,6,7,16103,14724,0.005,22,0.015212025880991896,48.678012792128776,2110.3382162567445,0.22337038645941476,35.231014637997305
ry9,grade,6,7,16103,14724,0.005,23,0.015085703102558672,48.956052745172855,2155.834288451316,0.05466956658466415,10.265057556573993
ry9,grade,6,7,16103,14724,0.005,24,0.02671579664785133,48.87621813351455,2156.1652216501548,0.025165045073642034,10.595990755412913
ry9,grade,6,7,16103,14724,0.005,25,0.02003063227094007,48.70820790751978,2116.1569857213444,0.19317527106841226,29.412245173397423
ry9,grade,6,7,16103,14724,0.005,26,0.01937725404863447,48.72210304821147,2122.077987916562,0.17928013037671775,23.4912429781798
ry9,grade,6,7,16103,14724,0.005,27,0.018270713677721255,48.89551068169382,2129.4118631627143,0.005872496894369306,16.157367732027524
ry9,grade,6,7,16103,14724,0.005,28,0.019117484394051053,48.733284791672574,2115.9332993924995,0.16809838691561652,29.63593150224233
